assessment_name,url,description,test_type,test_type_label,domain,job_level
Automata Fix New,https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,This assessment evaluates general aptitude relevant to general roles. Automata Fix New helps identify candidates with the right competencies and potential for success.,G,General,General,Mid
Core Java Entry Level New,https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,This assessment evaluates knowledge and technical skills relevant to technology roles. Core Java Entry Level New helps identify candidates with the right competencies and potential for success.,K,Knowledge & Skills,Technology,Entry
Java 8 New,https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,This assessment evaluates knowledge and technical skills relevant to technology roles. Java 8 New helps identify candidates with the right competencies and potential for success.,K,Knowledge & Skills,Technology,Mid
Core Java Advanced Level New,https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,This assessment evaluates knowledge and technical skills relevant to technology roles. Core Java Advanced Level New helps identify candidates with the right competencies and potential for success.,K,Knowledge & Skills,Technology,Mid
Interpersonal Communications,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,This assessment evaluates personality and behavioral relevant to general roles. Interpersonal Communications helps identify candidates with the right competencies and potential for success.,P,Personality & Behavior,General,Mid
Entry Level Sales 7 1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,This assessment evaluates general aptitude relevant to sales & customer service roles. Entry Level Sales 7 1 helps identify candidates with the right competencies and potential for success.,G,General,Sales & Customer Service,Entry
Entry Level Sales Sift Out 7 1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,This assessment evaluates general aptitude relevant to sales & customer service roles. Entry Level Sales Sift Out 7 1 helps identify candidates with the right competencies and potential for success.,G,General,Sales & Customer Service,Entry
Entry Level Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/,This assessment evaluates general aptitude relevant to sales & customer service roles. Entry Level Sales Solution helps identify candidates with the right competencies and potential for success.,G,General,Sales & Customer Service,Entry
Sales Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,This assessment evaluates general aptitude relevant to sales & customer service roles. Sales Representative Solution helps identify candidates with the right competencies and potential for success.,G,General,Sales & Customer Service,Mid
Business Communication Adaptive,https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,This assessment evaluates personality and behavioral relevant to general roles. Business Communication Adaptive helps identify candidates with the right competencies and potential for success.,P,Personality & Behavior,General,Mid
